Position,Number,Name,Pos_in_swim,Swim_time,T1,Pos_in_bike,Bike_time,T2,Pos_in_run,Run_time,Race_control,Time,Rank,Category
423.,767,GUIRAL Aurélie,115,24:05,4:50,696,1:54:07,1:47,165,30:47,Finish,2:55:38,11/81,F30-34
428.,696,VINCENT Rachel,415,28:27,2:39,592,1:50:45,1:26,279,32:33,Finish,2:55:53,3/52,F45-49
442.,566,LOMBARDI Elena,288,26:46,2:52,573,1:49:59,1:31,486,35:31,Finish,2:56:41,14/93,F25-29
444.,757,LOUGHRAN Gretta,254,26:22,2:25,639,1:52:14,1:39,379,34:03,Finish,2:56:45,5/40,F40-44
447.,854,SCHILLING Henriette,184,25:24,2:30,691,1:54:02,1:46,323,33:22,Finish,2:57:05,8/51,F35-39
449.,1023,SECQ Manon,429,28:37,3:13,432,1:45:27,1:24,721,38:36,Finish,2:57:19,15/93,F25-29
452.,1103,OUDE WEERNINK Tess,326,27:29,1:59,558,1:49:24,1:31,605,37:06,Finish,2:57:30,16/93,F25-29
453.,462,TRIBEL Léo,1363,41:33,2:01,310,1:39:32,54,333,33:29,Finish,2:57:31,12/81,F30-34
459.,923,HUBERT Aline,341,27:40,4:21,549,1:49:06,1:11,475,35:24,Finish,2:57:44,13/81,F30-34
468.,458,TRASBOT Emeline,649,30:29,2:50,565,1:49:41,1:05,363,33:52,Finish,2:57:59,8/26,F20-24
469.,242,SESTIER CARLIN Sandrine,282,26:42,3:43,599,1:51:01,1:51,432,34:44,Finish,2:58:04,6/40,F40-44
480.,460,BORCA Ninon,846,32:21,3:20,513,1:48:08,1:38,319,33:15,Finish,2:58:44,9/26,F20-24
484.,908,AYRAULT Laura,510,29:15,3:50,535,1:48:38,1:40,483,35:29,Finish,2:58:54,14/81,F30-34
492.,1062,BELLEGO Valérie,65,22:07,2:47,643,1:52:28,1:47,850,40:25,Finish,2:59:36,2/43,F50-54
498.,1605,QUARTELLI Pauline,652,30:31,4:07,514,1:48:12,2:03,463,35:12,Finish,3:00:06,15/81,F30-34
602.,1460,TREGER Cynthia,599,30:00,4:34,733,1:55:34,2:00,378,34:03,Finish,3:06:14,11/40,F40-44
607.,139,PIERRET Claire,773,31:35,3:33,732,1:55:30,1:46,388,34:09,Finish,3:06:35,17/81,F30-34
610.,762,HOGAN Shauna Hogan,520,29:17,2:26,821,1:59:05,1:31,396,34:15,Finish,3:06:36,18/81,F30-34
613.,1399,MAGANA Fanny,255,26:24,3:05,808,1:58:42,3:35,437,34:50,Finish,3:06:38,10/26,F20-24
614.,281,MONFORT Emilie,-,,,-,,,-,,Finish,3:06:43,13/51,F35-39
615.,401,BAIS Camille,726,31:15,3:27,683,1:53:53,2:00,528,36:06,Finish,3:06:43,11/26,F20-24
621.,845,STEUNEBRINK Mirjam,499,29:07,3:40,689,1:53:58,2:33,650,37:41,Finish,3:07:01,7/52,F45-49
622.,176,CARREIRA NEVES Amandine,248,26:15,2:08,825,1:59:10,1:19,703,38:15,Finish,3:07:10,24/93,F25-29
624.,1139,KOSTER Diana Martha,545,29:37,2:54,736,1:55:39,2:42,547,36:22,Finish,3:07:16,14/51,F35-39
625.,1622,BLANQUET Ludivine,524,29:19,4:31,686,1:53:54,1:21,695,38:12,Finish,3:07:18,25/93,F25-29
629.,54,BELLEC Axelle,878,32:46,3:24,724,1:55:08,1:30,423,34:34,Finish,3:07:23,15/51,F35-39
633.,214,LEJEUNE Valérie,394,28:08,2:57,759,1:56:46,1:29,710,38:20,Finish,3:07:42,5/43,F50-54
